task_id,category,grid_change,train_examples,color_relevant,rule,notes
007bbfb7,geometric,TRUE,5,FALSE,"Fractal scaling. Each square in the 3×3 input becomes a copy of the entire 3×3 input pattern at that position in the 9×9 output.
",Map problem. Sierpiski triangle-ish. 
00d62c1b,relational_spatial,FALSE,5,FALSE,Fill in all fully enclosed (bounded on all 4 sides) squares with yellow. ,"Yellow is arbitrary color choice, irrelevant to relational logic"
017c7c7b,pattern_completion,TRUE,3,FALSE,Extend pattern downward by 3 rows (1 period of the main pattern),
025d127b,object_centric,FALSE,2,FALSE,"Using the L-shaped bottom/right part of the object as an anchor, shift the rest of the object over to the right by one square",
05f2a901,relational_spatial,FALSE,3,TRUE,Shift the red/non-square shape so it is up against the (light blue) square,"Can either treat as shift non-square to square, or shift red --> light blue "
06df4c85,relational_spatial,FALSE,3,TRUE,"If two 4x4 squares of the same color share the same row or column (alignment), fill the empty  4x4 squares between them with that color.",Color determines what squares to connect
08ed6ac7,numerical,FALSE,2,TRUE,"Calculate height of each line and use that to determine color: tallest becomes blue, 2nd tallest becomes red, 3rd tallest becomes  green, shortest becomes yellow",Color is relevant in output
0a938d79,pattern_completion,FALSE,4,TRUE,Extrapolate the alternating colored lines pattern and complete the sequence,relational + pattern completion
0b148d64,object_centric,TRUE,3,TRUE,Output the square that's a different color from the rest,Color is the only relevant factor
0ca9ddb6,object_centric,FALSE,3,TRUE,"Red squares --> add yellow squares around corners, blue squares --> add purple squares around sides, light blue/magenta squares --> do nothing",
0d3d703e,object_centric,FALSE,4,TRUE,"Apply color correspondences (input green = output yellow, input light blue = output rust, etc)",
0dfd9992,pattern_completion,FALSE,3,TRUE,Fill in the empty squares so the surrounding pattern is preserved,"""Mosaic"" pattern completion"
0e206a2e,compositional,FALSE,3,TRUE,"Each object contains 3 uniquely colored squares. Compare them to the ""anchor point"" structures, and move the object so its 3 unique squares line up with matching anchor points",Anchor point problem
10fcaaa3,compositional,TRUE,4,TRUE,"The entire grid is tiled in a 2x2 pattern. Each colored ""seed"" pixel from the input is the center of a 3x3 ""X"" shape. The center stays the original color, and the four diagonal neighbors become light blue. The light blue squares only appear where there is room.",geometric + object
1a07d186,compositional,FALSE,3,TRUE,"Shift squares to the closest side of the line that shares the same color as them, otherwise delete them",
1b2d62fb,compositional,TRUE,5,TRUE,"Overlay the 2 red shapes separated by the blue line, and whatever squares are not filled, output them in light blue",Blue line used to distinguish shapes to be overlayed
1b60fb0c,geometric,FALSE,3,FALSE,Complete the shape (symmetry) and make the added piece red,"Red used to mark added piece, irrelevant to detecting pattern"
1bfc4729,compositional,FALSE,2,TRUE,"Based on the vertical positions and colors of the 2 squares, build the frame border shape (with the seed squares being the inner side of the rectangle portions), where the top half is one color and the bottom half is the other",
1c786137,object_centric,TRUE,3,TRUE,Output the content inside the single-colored frame,"Color helps delineate frame, but could solve by looking for frame shape instead"
1caeab9d,relational_spatial,FALSE,3,TRUE,Shift the objects so they are lined up with the blue object,
1cf80156,object_centric,TRUE,3,FALSE,Scale down the output grid so it borders the shape,
1e0a9b12,relational_spatial,FALSE,3,FALSE,Slide all squares vertically down to the bottom of the grid,"""Tetris""/""gravity"" problem"
1e32b0e9,compositional,FALSE,3,TRUE,Fix any empty or incomplete boxes in the large 9x9 grid so they all have the same shape; any additions/completions made should be the color of the grid lines,"""Tic tac toe"" grid"
1f0c79e5,pattern_completion,FALSE,4,TRUE,"Starting from the red square(s), recursively expand the 2x2 block (pattern) diagonally until you hit the grid edge",
1f642eb9,relational_spatial,FALSE,3,TRUE,"""Shoot"" a colored square at the light blue rectangle in a straight line. The square of the rectangle it hits, recolor to be the colored square's color",
1f85a75f,object_centric,TRUE,2,TRUE,Identify the larger object amid the background noise (object has at least a 2x2 contiguous size),"Object is different color from noise, but could also use dimensions to solve"
1f876c06,relational_spatial,FALSE,3,TRUE,"If two squares share the same color, build a diagonal line between them",
1fad071e,numerical,TRUE,3,TRUE,"Count the number of 2x2 blue squares, then output that many 1x1 blue squares in a line",
22eb0ac0,relational_spatial,FALSE,3,TRUE,"If the squares on both sides of the grid are the same color, build a line between them",
23b5c85d,numerical,TRUE,5,TRUE,Output the smallest shape (square/rectangle); it will be a distinct color,Color used to distinguish overlapping rectangles in some cases
25d487eb,compositional,FALSE,3,TRUE,"Determine which way the tip of the ""triangle"" object is pointing, then draw a line extending from the tip; line should be the color of the 1 differently colored square in the triangle",object + relational
